,Unnamed: 0,air_pressure,moisture_percentage,rain_intensity,snow_depth,deg,visibility,wind_speed,MONTH,DAY,time,datetime
0,0,1007.45,89.1,0.0349999999999999,10.5,0.9099831186245868,20304.0,5.4175,1,1,00:00,1_1_00:00
1,1,1007.38,88.75,0.0449999999999999,10.5,0.7125654901585172,21081.5,5.569999999999999,1,1,00:15,1_1_00:15
2,2,1007.25,89.1,0.0466666666666666,10.4,0.6826478616924477,20746.0,5.76,1,1,00:30,1_1_00:30
3,3,1007.135,89.25,0.0574999999999999,10.4,0.632730233226378,20086.0,5.755000000000001,1,1,00:45,1_1_00:45
4,4,1007.03,89.1,0.0683333333333333,10.4,0.5928126047603085,20918.0,5.69,1,1,01:00,1_1_01:00
5,5,1006.875,89.4,0.0716666666666666,10.4,0.5628949762942387,21522.0,5.75,1,1,01:15,1_1_01:15
6,6,1006.79,89.6,0.0533333333333333,10.4,0.6129773478281692,21707.0,5.83,1,1,01:30,1_1_01:30
7,7,1006.695,89.6,0.0283333333333333,10.35,0.5530597193620996,21876.0,5.680000000000001,1,1,01:45,1_1_01:45
8,8,1006.54,90.1,0.0466666666666666,10.4,0.6031420908960299,20700.0,5.75,1,1,02:00,1_1_02:00
9,9,1006.425,90.35,0.0524999999999999,10.35,0.6032244624299603,20683.5,5.470000000000001,1,1,02:15,1_1_02:15
10,10,1006.31,90.6,0.0549999999999999,10.3,0.6333068339638906,20639.0,5.4,1,1,02:30,1_1_02:30
11,11,1006.185,90.45,0.0324999999999999,10.2,0.608389205497821,20343.5,5.275,1,1,02:45,1_1_02:45
12,12,1006.07,90.4,0.0266666666666666,10.2,0.5934715770317514,19774.0,5.55,1,1,03:00,1_1_03:00
13,13,1005.91,90.35,0.0358333333333333,10.3,0.6635539485656816,20948.0,5.685,1,1,03:15,1_1_03:15
14,14,1005.81,90.2,0.035,10.3,0.653636320099612,21958.0,5.7,1,1,03:30,1_1_03:30
15,15,1005.7,90.3,0.0474999999999999,10.25,0.6437186916335425,22815.0,5.46,1,1,03:45,1_1_03:45
16,16,1005.62,90.4,0.0566666666666666,10.2,0.6338010631674729,22489.0,5.35,1,1,04:00,1_1_04:00
17,17,1005.5,90.65,0.0449999999999999,10.2,0.6088834347014033,23202.5,5.44,1,1,04:15,1_1_04:15
18,18,1005.44,90.6,0.0333333333333333,10.1,0.5239658062353336,23107.0,5.34,1,1,04:30,1_1_04:30
19,19,1005.305,91.05,0.0341666666666666,10.3,0.5640481777692641,23740.5,5.42,1,1,04:45,1_1_04:45
20,20,1005.22,90.9,0.0283333333333333,10.3,0.5241305493031942,22697.0,5.71,1,1,05:00,1_1_05:00
21,21,1005.125,91.0,0.0333333333333333,10.2,0.5792129208371247,22878.5,5.615,1,1,05:15,1_1_05:15
22,22,1005.0,91.0,0.0433333333333333,10.2,0.5642952923710551,22868.0,5.44,1,1,05:30,1_1_05:30
23,23,1004.955,91.35,0.0241666666666666,10.2,0.5643776639049856,22152.0,5.3,1,1,05:45,1_1_05:45
